Model Name,Category,Description,Art Quality,Realism Quality,Prompting Quality,Typography Quality,Cost
Ideogram 2.0 Turbo,Image,A faster cheaper version of Ideogram for typography,High,High,High,High,$$-$$$
Ideogram 1.0,Image,The first model from Ideogram. Good at typography,Medium,Medium,High,High,$$$$$
Ideogram 1.0 Turbo,Image,A faster and cheaper version of Ideogram 1.0,Medium,Medium,High,High,$$-$$$
Seedance 1.5 Pro,Image,The next generation of AI video generation with native synchronized audio capabilities,High,High,High,Medium,$$$$$
PixVerse V5,Image,PixVerse v5 model delivers the latest advancements in AI video generation,High,High,High,Medium,N/A
Juggernaut Flux Pro,Image,Flux but better (especially at realism). By RunDiffusion,High,High,High,Medium,$$-$$$
Juggernaut Flux Lite,Image,A cheaper faster but slightly less powerful version of Juggernaut Flux,High,High,High,Medium,$$-$$$
Juggernaut XL,Image,Juggernaut re-trained from scratch for better prompt adherence. By RunDiffusion,High,High,High,Medium,$$-$$$
Juggernaut XL Lightning,Image,Juggernaut re-trained from scratch for better prompt adherence. By RunDiffusion,High,High,High,Medium,$$-$$$
RealVisXL v5,Image,An SDXL model for photorealism. Great at faces. By SG_161222,High,High,High,Medium,$$-$$$
RealVisXL v5 Lightning,Image,An SDXL lightning model for photorealism. Great at faces. By SG_161222,High,High,High,Medium,$$$$$
Boltning XL v1 Lightning,Image,A lightning model for highly detailed aesthetic images. By geonying,High,High,High,Medium,$-$$$
Atomix XL v4 Lightning,Image,A lightning model that balances realism and CG. By AlexiAI,High,High,High,Medium,$$$$$
Moste Diffusion XL v1.6 Lighten,Image,A mashup of other popular SDXL models. By movie1776,High,High,High,Medium,$$$$$
RealVisXL v4,Image,An SDXL model for photorealism. Great at faces. By SG_161222,High,High,High,Medium,$$-$$$
Stable Core,Image,Beautiful high resolution images. No need for complex prompts,High,High,Low,Medium,$$-$$$
Clarity Upscaler,Image,A creative upscaler capable of adding detail and clarity while upscaling up to 4x,High,High,High,Medium,N/A
SDXL 1.0,Image,Stable Diffusion XL. An older model that still holds up,High,High,High,Medium,$$-$$$
RealVisXL v4 Lightning,Image,An SDXL model for photorealism. Great at faces. By SG_161222,High,High,High,Medium,$-$$$
Fluently,Image,An SDXL model for creating realistic images. By Fluently,High,High,High,Medium,$$-$$$
Fluently XL Lightning,Image,An SDXL lightning model for creating realistic images. By Fluently,High,High,High,Medium,$$-$$$
Sdxl Cartoon XL v4,Image,An SDXL model good at realistic looking cartoons. By 7Whitefire7,High,Medium,High,Medium,$$-$$$
Starlight XL,Image,An SDXL model designed for creating fantasy concept art and illustrations. by chillpixel,High,High,High,Medium,$$-$$$
Mysterious XL v4,Image,An SDXL model for fantasy art and cinematics. By LahintheFutureIsland,High,High,High,Medium,$$-$$$
Juggernaut XL v8,Image,An SDXL model for perfect realism and cinematic styles. By kandooAI,High,High,High,Medium,$$-$$$
DreamShaper XL alpha2,Image,A versatile SDXL model trained by Lykon,High,High,High,Medium,$$-$$$
Juggernaut XL v5,Image,An SDXL model for perfect realism and cinematic styles. By kandooAI,High,High,High,Medium,$$-$$$
Juggernaut XL v6,Image,An SDXL model for perfect realism and cinematic styles. By kandooAI,High,High,High,Medium,$$-$$$
Juggernaut XL v7,Image,An SDXL model for perfect realism and cinematic styles. By kandooAI,High,High,High,Medium,$$-$$$
Juggernaut v9 Lightning,Image,A lightning model for perfect realism and cinematic styles. By RunDiffusion,High,High,High,Medium,$$$$$
Juggernaut v9,Image,An SDXL model for perfect realism and cinematic styles. By RunDiffusion,High,High,High,Medium,$$-$$$
Blue Pencil XL,Image,An SDXL Anime model by blue_pencil805,High,Medium,High,Medium,$$-$$$
Animagine XL v3,Image,An SDXL model designed to generate high-quality anime. By CagliostroLab,High,Medium,High,Medium,$$-$$$
RealMixXL v3,Image,An SDXL model for photorealism. Great at faces. By SG_161222,High,High,High,Medium,$$-$$$
AAM XL Anime Mix v1,Image,A model aimed at generating anime and stylized art. By Lykon,High,Medium,High,Medium,$$-$$$
Virtual Utopia XL,Image,Suitable for generating both authentic and fantasy worlds. By CyberBlaattt,High,High,High,Medium,$$-$$$
Cherry Picker XL v2.7,Image,A photorealistic model that merges carefully selected models. By tkyter,High,High,High,Medium,$$-$$$
SDXL LCM,Image,SDXL accelerated by LCM LoRA. High quality fast and cheap,High,High,High,Medium,$-$$$
SDXL DPO,Image,A Direct Preference Optimization (DPO) aligned version of SDXL 1.0,High,High,High,Medium,$$-$$$
DreamShaper v1.8.1,Image,A "does it all" model by Lykon. Particularly good at faces,High,High,High,Medium,$$$$$
Realistic Vision V5.1,Image,A model for photorealism. Great at faces. By SG_161222,High,High,High,Medium,$-$$$
AbsoluteReality v1.8.1,Image,A model aimed at realism by Lykon,High,High,High,Medium,$$$$$
NeverEnding Dream v1.2.2,Image,A DreamShaper alternative that's better suited. By Lykon,High,High,High,Medium,$-$$$
3D Animation Diffusion v10,Image,Great for creating 3D cartoon characters. By Lykon,High,Medium,High,Medium,$-$$$
RPG v5,Image,Aimed at creating RPG character portraits. By Anashel,High,Medium,High,Medium,$-$$$
Blue Pencil v10,Image,Aimed at creating anime & fantasy art. By blue_pencil805,High,Medium,High,Medium,$-$$$
Arthemy Comics v5.0,Image,Aimed at creating comic style characters. By Arthemy,High,Medium,High,Medium,$-$$$
Rabbit v7,Image,Use this model born to draw cute little things. By Rabbit_YourMajesty,High,Medium,High,Medium,$-$$$
Nightmare Shaper v3,Image,Designed to unleash your darkest imaginations. By Yarner,High,High,High,Medium,$-$$$
WildlifeFOX Animals,Image,A model focused on animals pets and different breeds. By lvr_fries1111,High,High,High,Medium,$-$$$
RealCartoon Pixar v8,Image,An SD1.5 model good at pixar-style cartoons. By 7Whitefire7,High,Medium,High,Medium,$$$$$
SkaterByte V2,Image,An SD1.5 models good at 2SD art. By CameraBuddy,High,Medium,High,Medium,$$$$$
Juggernaut Reborn,Image,An SD 1.5 model for perfect realism and cinematic styles. By kandooAI,High,High,High,Medium,$$$$$
SD1.5 DPO,Image,A Direct Preference Optimization (DPO) aligned version of SD1.5,High,High,High,Medium,$$$$$
DALL-E 2,Image,The original image generator from OpenAI,Medium,Medium,High,Medium,$$-$$$
Stable Diffusion 1.5,Image,The most popular first-generation stable-diffusion model,Medium,Medium,High,Medium,$$$$$
Stable Diffusion 1.4,Image,The original Stable diffusion model,Medium,Medium,High,Medium,$$$$$
Coherent,Image,CLIP-Guided Diffusion,Medium,Medium,High,Medium,N/A
Artistic,Image,VQGAN+CLIP - the original text-to-image algorithm,Medium,Medium,High,Medium,N/A
Style Transfer,Image,The original AI Art algorithm,Low,Low,Low,Low,N/A
Qwen Image 2512,Image,Qwen's Latest update with major rollout enhancements,High,High,High,Medium,$$-$$$
Qwen Image Edit 2511,Image,It preserves people and keeps textures looking great no matter what you change. Easily,High,High,High,Medium,$$-$$$
Qwen Image,Image,A model from Alibaba that excels at typography,High,High,High,Medium,$$-$$$
Qwen Image SD,Image,A cheaper and lower resolution version of Qwen Image,Medium,Medium,High,Medium,$-$$$
Flux 2 Pro,Image,Flux 2 with improved image quality and good speed generation,High,High,High,Medium,$$$$$
Flux 2 Pro Dev,Image,Flux 2: better at typography and designs,High,High,High,Medium,$$$-$
Flux Pro,Image,Grounded generation with real-world context. Maximum quality for complex workflows,High,High,High,Medium,$$$$$
Flux 2 Lite,Image,Creator realistic images with a focus on more correct human anatomy,High,High,High,Medium,$$$$$
Flux Schnell,Image,A cheaper faster but slightly less powerful version of Flux,High,High,High,Medium,$$-$$$
Google Imagen 4.0 Fast,Image,A faster cheaper version of Imagen v4. Google's image model,High,High,High,Medium,$$-$$$
Google Imagen 4.0,Image,Google's image model. Great at prompt adherence and typography,High,High,High,High,$$$$$
Qwen Image Edit,Image,Advanced image editing capabilities with Qwen AI,High,High,High,Medium,$$-$$$
Flux PRO v1.1,Image,The full-power version of Flux by Black Forest Labs,High,High,High,Medium,$$$$$
HiDream 11 Full,Image,The full power of HiDream 11 a state-of-the-art image generation model,High,High,High,Medium,$$-$$$
Ideogram V3 Turbo,Image,The latest turbo model from Ideogram,High,High,High,High,$$-$$$
Flux Kontext Dev,Image,Cheaper & faster version of Kontext still great at editing images using prompts,High,High,High,Medium,$$-$$$
