Model,Beschrijving,Art (★),Prompting (★),Realism (★),Typography (★),Kosten ($),Type
Google Imagen 3.0 Fast,"Een snellere goedkopere versie van Imagen v3, Google's beeldmodel.",★★★★☆,★★★★☆,★★★★☆,★★★★☆,$$$$,Image
Google Imagen 3.0,Google's beeldmodel. Geweldig voor prompt-naleving en typografie.,★★★★☆,★★★★★,★★★★★,★★★★★,$$$$,Image
Ideogram 2a,Gemaakt door ex-Googlers. Betaalbare prompt-naleving en typografie.,★★★★☆,★★★★★,★★★★☆,★★★★★,$$$,Image
Ideogram 2a Turbo,Een snellere goedkopere versie van Ideogram 2a.,★★★★☆,★★★★☆,★★★★☆,★★★★★,$$$,Image
GPT1.5 Low,GPT Image 1.5 van OpenAI op lage kwaliteitsinstelling. Snel en goedkoop voor prototypes.,★★★☆☆,★★★★☆,★★★☆☆,★★★☆☆,$$$$$,Image
GPT1 Low,GPT Image 1 van OpenAI op lage kwaliteitsinstelling. Snel en goedkoop voor prototypes.,★★★☆☆,★★★★☆,★★★☆☆,★★★☆☆,$$$$,Image
Recraft v3,Model door Recraft. Uitstekend voor spelling en typografie. Kan vectoren genereren.,★★★☆☆,★★★★★,★★★☆☆,★★★★★,$$$$$,Image
Ideogram 2.0,Gemaakt door ex-Googlers. Geweldig voor prompt-naleving en tekst in afbeeldingen.,★★★★☆,★★★★★,★★★★☆,★★★★★,$$$$$,Image
Ideogram 2.0 Turbo,Een snellere goedkopere versie van Ideogram 2.0. Geweldig voor typografie.,★★★★☆,★★★★★,★★★☆☆,★★★★★,$$$$$,Image
Ideogram 1.0,Het eerste model van Ideogram. Goed voor typografie.,★★★★☆,★★★★☆,★★★☆☆,★★★★☆,$$$$$,Image
Ideogram 1.0 Turbo,Een snellere en goedkopere versie van Ideogram 1.0.,★★★★☆,★★★★☆,★★★☆☆,★★★★☆,$$$$$,Image
Seedance 1.5 Pro,De volgende generatie AI videogeneratie met gesynchroniseerde audio mogelijkheden.,★★★★★,★★★★★,★★★★★,★★☆☆☆,$$$$$,Video
Seedance 1.0 Pro Fast,Snellere videogeneratie. Lagere prijs. Cinematografische resultaten.,★★★★☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$,Video
PixVerse V5,PixVerse's v5 model met de nieuwste ontwikkelingen in AI videogeneratie.,★★★★★,★★★★★,★★★★★,★★☆☆☆,$$$$$,Video
Kling 2.5 Turbo Standard,Ontworpen voor vloeiende cinematografische beeld-naar-video generatie door Kling A.I.,★★★★☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$$,Video
Veo 3.1,Levensechte beweging met contextbewuste gesynchroniseerde audio. Ondersteunt eerste en laatste frame.,★★★★★,★★★★★,★★★★★,★★☆☆☆,$$$$$,Video
Veo 3.1 Fast,Maakt dynamische cinematografische video's van één afbeelding met levensechte beweging en gesynchroniseerde audio.,★★★★☆,★★★★★,★★★★★,★★☆☆☆,$$$$,Video
Google Veo 3.0 Fast,Een tekst-naar-video en beeld-naar-video model door Google.,★★★★☆,★★★★★,★★★★☆,★★☆☆☆,$$$$,Video
Seedance 1.0 Pro,Een tekst-naar-video en beeld-naar-video model door ByteDance AI.,★★★★☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$$,Video
Seedance 1.0 Lite,Een tekst-naar-video en beeld-naar-video model door ByteDance AI.,★★★☆☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$,Video
Kling 2.5 Turbo Pro,Een tekst-naar-video en beeld-naar-video model door Kling A.I. met turbo beweging.,★★★★☆,★★★★★,★★★★★,★★☆☆☆,$$$$$,Video
Kling 2.1 Standard,Een beeld-naar-video model door Kling A.I.,★★★★☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$$,Video
Kling 1.6 Standard,Een tekst-naar-video en beeld-naar-video model door Kling A.I.,★★★☆☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$,Video
Runway Gen-4 Turbo,Het nieuwste beeld-naar-video model door Runway.,★★★★☆,★★★★★,★★★★★,★★☆☆☆,$$$$$,Video
Juggernaut Flux Base,Een versie van Flux getraind op hoogwaardige afbeeldingen. Door RunDiffusion.,★★★★★,★★★★☆,★★★★★,★★★☆☆,$$$,Image
Juggernaut Flux Pro,Flux maar beter (vooral voor realisme). Door RunDiffusion.,★★★★★,★★★★★,★★★★★,★★★☆☆,$$$$,Image
Juggernaut Flux Lightning,Een goedkopere snellere maar iets minder krachtige versie van Juggernaut Flux.,★★★★☆,★★★★☆,★★★★★,★★★☆☆,$$$,Image
Juggernaut XI,Juggernaut opnieuw getraind voor betere prompt-naleving. Door RunDiffusion.,★★★★★,★★★★★,★★★★★,★★★☆☆,$$$$,Image
Juggernaut XI Lightning,"Juggernaut opnieuw getraind voor betere prompt-naleving. Door RunDiffusion.",★★★★★,★★★★★,★★★★★,★★★☆☆,$$$$,Image
RealVisXL v5,"Een SDXL model voor fotorealisme. Geweldig voor gezichten. Door SG_161222.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
RealVisXL v5 Lightning,"Een SDXL lightning model voor fotorealisme. Geweldig voor gezichten. Door SG_161222.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
Crystal Clear XL,"Een SDXL model voor fotorealisme, 3D, semi-realistisch of cartoonachtig. Door Team Crystal.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
Crystal Clear XL Lightning,"Een SDXL model voor fotorealisme, 3D, semi-realistisch of cartoonachtig. Door Team Crystal.",★★★★☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$,Image
Boltning XL v1 Lightning,"Een lightning model voor zeer gedetailleerde esthetische afbeeldingen. Door georgebanjog.",★★★★★,★★★★☆,★★★★☆,★★☆☆☆,$$$$$,Image
Atomix XL v4 Lightning,"Een lightning model dat realisme en CG balanceert. Door AlexLai.",★★★★☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$,Image
Moxie Diffusion XL v1.6 Lightning,"Een mashup van populaire SDXL modellen. Door moxie1776.",★★★★☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$,Image
RealVisXL v4,"Een SDXL model voor fotorealisme. Geweldig voor gezichten. Door SG_161222.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
Stable Core,"Mooie hoge resolutie afbeeldingen zonder complexe prompts.",★★★★☆,★★★★★,★★★★☆,★★★☆☆,$$$$$,Image
SDXL 1.0,"Stabiel Diffusie XL. Een ouder model dat nog steeds goed presteert.",★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$,Image
RealVisXL v4 Lightning,"Een SDXL model voor fotorealisme. Geweldig voor gezichten. Door SG_161222.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
Fluently XL,"Een SDXL model voor het maken van realistische afbeeldingen. Door Fluently.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
Fluently XL Lightning,"Een SDXL lightning model voor realistische afbeeldingen. Door Fluently.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$$,Image
Real Cartoon XL v4,"Een SDXL model goed voor realistisch ogende cartoons. Door 7whitefire7.",★★★★★,★★★☆☆,★★★☆☆,★★☆☆☆,$$$$,Image
Starlight XL,"Een SDXL model voor concept art en illustraties. Door chillpixel.",★★★★★,★★★★☆,★★★☆☆,★★☆☆☆,$$$$,Image
Mysterious XL v4,"Een SDXL model voor fantasy kunst en Aziatische cultuur. Door LahInTheFutureland.",★★★★★,★★★☆☆,★★★☆☆,★★☆☆☆,$$$$,Image
Juggernaut XL v8,"Een SDXL model voor perfecte realisme en cinematografische stijlen. Door KandooAI.",★★★★★,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
DreamShaper XL alpha2,"Een veelzijdig SDXL model getraind door Lykon.",★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$$,Image
Juggernaut XL v5,"Een SDXL model voor perfecte realisme en cinematografische stijlen. Door KandooAI.",★★★★★,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
Juggernaut XL v6,"Een SDXL model voor perfecte realisme en cinematografische stijlen. Door KandooAI.",★★★★★,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
Juggernaut XL v7,"Een SDXL model voor perfecte realisme en cinematografische stijlen. Door KandooAI.",★★★★★,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
Juggernaut v9 Lightning,"Een lightning model voor perfecte realisme en cinematografische stijlen. Door RunDiffusion.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
Juggernaut v9,"Een SDXL model voor perfecte realisme en cinematografische stijlen. Door RunDiffusion.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
Blue Pencil XL,"Een SDXL Anime model door blue_pen5805.",★★★★★,★★★☆☆,★★★☆☆,★★☆☆☆,$$$$,Image
Animagine XL v3,"Een model voor het genereren van hoogwaardige anime. Door CagliostroLab.",★★★★★,★★★★☆,★★★☆☆,★★☆☆☆,$$$$,Image
RealVisXL v3,"Een SDXL model voor fotorealisme. Geweldig voor gezichten. Door SG_161222.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
AAM XL Anime Mix v1,"Een model voor anime en gestileerde kunst. Door Lykon.",★★★★★,★★★☆☆,★★★☆☆,★★☆☆☆,$$$$,Image
Virtual Utopia XL,"Geschikt voor zowel authentieke als anime afbeeldingen. Door CyberBlacat.",★★★★☆,★★★★☆,★★★★☆,★★☆☆☆,$$$$,Image
Cherry Picker XL v2.7,"Een fotorealistisch model dat zorgvuldig geselecteerde modellen combineert. Door tkvier.",★★★★★,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
SDXL LCM,"SDXL versneld door LCM LoRA. Hoge kwaliteit snel en goedkoop.",★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$$,Image
SDXL DPO,"Een Direct Preference Optimization (DPO) versie van SDXL 1.0.",★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$,Image
DreamShaper v8,"Een doet-het-allemaal model door Lykon. Bijzonder goed in kunst.",★★★★★,★★★★☆,★★★★☆,★★★☆☆,$$$$,Image
Realistic Vision V5.1,"Een model voor fotorealisme. Geweldig voor gezichten. Door SG_161222.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
AbsoluteReality v1.8.1,"Een model gericht op realisme door Lykon.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$,Image
NeverEnding Dream v1.2.2,"Een DreamShaper alternatief dat beter is in anime. Door Lykon.",★★★★☆,★★★★☆,★★★☆☆,★★☆☆☆,$$$$,Image
3D Animation Diffusion v10,"Geweldig voor het maken van 3D cartoon karakters. Door Lykon.",★★★★★,★★★★☆,★★★☆☆,★★☆☆☆,$$$$,Image
RPG v5,"Gericht op het maken van RPG karakter portretten. Door Anashel.",★★★★★,★★★★☆,★★★☆☆,★★☆☆☆,$$$$,Image
Blue Pencil v10,"Gericht op anime en fantasy kunst. Door blue_pen5805.",★★★★★,★★★☆☆,★★★☆☆,★★☆☆☆,$$$$$,Image
Arthemy Comics v5.0,"Gericht op het maken van stripverhaal stijl karakters. Door Arthemy.",★★★★★,★★★★☆,★★★☆☆,★★☆☆☆,$$$$,Image
Rabbit v7,"Dit model is geboren om schattige kleine dingen te tekenen. Door Rabbit_YourMajesty.",★★★★★,★★★☆☆,★★☆☆☆,★★☆☆☆,$$$$,Image
Nightmare Shaper v3,"Ontworpen om de donkerste verbeeldingen los te laten. Door Yamer.",★★★★★,★★★★☆,★★★☆☆,★★☆☆☆,$$$$,Image
WildlifeX Animals,"Model gericht op dieren, huisdieren en verschillende rassen. Door Mr_fries1111.",★★★★★,★★★★☆,★★★★☆,★★☆☆☆,$$$$,Image
RealCartoon Pixar v8,"Een SD1.5 model goed voor Pixar stijl cartoons. Door 7whitefire7.",★★★★★,★★★☆☆,★★★☆☆,★★☆☆☆,$$$$,Image
Ghost Mix v2,"Een SD1.5 model goed voor 2.5D kunst. Door _GhostInShell_.",★★★★★,★★★☆☆,★★★☆☆,★★☆☆☆,$$$$$,Image
Juggernaut Reborn,"Een SD 1.5 model voor perfecte realisme en cinematografische stijlen. Door KandooAI.",★★★★☆,★★★★☆,★★★★★,★★☆☆☆,$$$$$,Image
SD1.5 DPO,"Een Direct Preference Optimization (DPO) versie van SD1.5.",★★★☆☆,★★★☆☆,★★★★☆,★★☆☆☆,$$$$$,Image
DALL-E 2,"De originele beeldgenerator van OpenAI.",★★★★☆,★★★★☆,★★★☆☆,★★☆☆☆,$$$,Image
Stable Diffusion 1.5,"Het meest populaire eerste generatie Stabiel Diffusie model.",★★☆☆☆,★★☆☆☆,★★★☆☆,★★☆☆☆,$$$$$,Image
Stable Diffusion 1.4,"Het originele Stabiel Diffusie model.",★★☆☆☆,★★☆☆☆,★★★☆☆,★★☆☆☆,$$$$,Image
Coherent,"CLIP-Guided Diffusion.",★★☆☆☆,★★☆☆☆,★★☆☆☆,★☆☆☆☆,$$$$,Image
Artistic,"VQGAN+CLIP - het originele tekst-naar-afbeelding algoritme.",★★☆☆☆,★☆☆☆☆,★☆☆☆☆,★☆☆☆☆,$$$$,Image
Style Transfer,"Het originele AI Art algoritme.",★★☆☆☆,★☆☆☆☆,★☆☆☆☆,★☆☆☆☆,$$$$,Image
