Name,Owner,Category,Description,Tags,Quantization,Max Context Tokens,Pricing Type,Pricing,Deprecated,Replaced By
NovaSky-AI/Sky-T1-32B-Preview,NovaSky-AI,text-generation,This is a 32B reasoning model trained from Qwen2.5-32B-Instruct with 17K data. The performance is on par with o1-preview model on both math and coding.,openai,fp16,32768,tokens,$0.1200 in/1M tokens; $0.1800 out/1M tokens,Yes,Qwen/Qwen3-32B
PaddlePaddle/PaddleOCR-VL-0.9B,PaddlePaddle,text-generation,"PaddleOCR-VL is a SOTA and resource-efficient model tailored for document parsing. Its core component is PaddleOCR-VL-0.9B, a compact yet powerful vision-language model (VLM) that integrates a NaViT-style dynamic resolution visual encoder with the ERNIE-4.5-0.3B language model to enable accurate element recognition. This innovative model efficiently supports 109 languages and excels in recognizing complex elements (e.g., text, tables, formulas, and charts), while maintaining minimal resource consumption. Through comprehensive evaluations on widely used public benchmarks and in-house benchmarks, PaddleOCR-VL achieves SOTA performance in both page-level document parsing and element-level recognition. It significantly outperforms existing solutions, exhibits strong competitiveness against top-tier VLMs, and delivers fast inference speeds. These strengths make it highly suitable for practical deployment in real-world scenarios.",openai; cc-native; multimodal; json; structured-output; ocr,bfloat16,16384,tokens,$0.1400 in/1M tokens; $0.8000 out/1M tokens,,
Phind/Phind-CodeLlama-34B-v2,Phind,text-generation,"Phind-CodeLlama-34B-v2 is an open-source language model that has been fine-tuned on 1.5B tokens of high-quality programming-related data and achieved a pass@1 rate of 73.8% on HumanEval. It is multi-lingual and proficient in Python, C/C++, TypeScript, Java, and more. It has been trained on a proprietary dataset of instruction-answer pairs instead of code completion examples.  The model is instruction-tuned on the Alpaca/Vicuna format to be steerable and easy-to-use. It accepts the Alpaca/Vicuna instruction format and can generate one completion for each prompt.",openai; json,fp16,4096,tokens,$0.6000 in/1M tokens; $0.6000 out/1M tokens,Yes,meta-llama/Meta-Llama-3.1-70B-Instruct
Pixverse/Pixverse-T2V,Pixverse,text-to-video,"PixVerse's 720p resolution offers a fast and reliable option for generating standard HD videos, ideal for quick previews and social media content where generation speed is prioritized over maximum detail.",,,,image_units,$0.200000/image unit,,
Pixverse/Pixverse-T2V-HD,Pixverse,text-to-video,"The 1080p high-fidelity mode in PixVerse renders videos with significantly enhanced sharpness and visual clarity, capturing intricate details and providing a crisp, professional-grade quality suitable for more polished projects.",,,,image_units,$0.400000/image unit,,
Qwen/QVQ-72B-Preview,Qwen,text-generation,"QVQ-72B-Preview is an experimental research model developed by the Qwen team, focusing on enhancing visual reasoning capabilities. QVQ-72B-Preview has achieved remarkable performance on various benchmarks. It scored a remarkable 70.3% on the Multimodal Massive Multi-task Understanding (MMMU) benchmark",openai; cc-native; multimodal,bfloat16,32000,tokens,$0.2500 in/1M tokens; $0.5000 out/1M tokens,Yes,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8
Qwen/QwQ-32B,Qwen,text-generation,"QwQ is the reasoning model of the Qwen series. Compared with conventional instruction-tuned models, QwQ, which is capable of thinking and reasoning, can achieve significantly enhanced performance in downstream tasks, especially hard problems. QwQ-32B is the medium-sized reasoning model, which is capable of achieving competitive performance against state-of-the-art reasoning models, e.g., DeepSeek-R1, o1-mini.",openai; json; structured-output,bfloat16,131072,tokens,$0.1500 in/1M tokens; $0.4000 out/1M tokens,Yes,Qwen/Qwen3-32B
Qwen/QwQ-32B-Preview,Qwen,text-generation,"QwQ is an experimental research model developed by the Qwen Team, designed to advance AI reasoning capabilities. This model embodies the spirit of philosophical inquiry, approaching problems with genuine wonder and doubt. QwQ demonstrates impressive analytical abilities, achieving scores of 65.2% on GPQA, 50.0% on AIME, 90.6% on MATH-500, and 50.0% on LiveCodeBench. With its contemplative approach and exceptional performance on complex problems.",openai,bfloat16,32768,tokens,$0.1200 in/1M tokens; $0.1800 out/1M tokens,Yes,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
Qwen/Qwen-Image-Edit,Qwen,text-to-image,"Qwen-Image-Edit is a next-generation image editing model built on top of Qwen-Image, designed for both semantic and appearance-level edits. It excels at tasks like precise text modifications, style transfers, viewpoint transformations, and element adjustments while preserving overall visual consistency.",,,,image_units,$0.025000/image unit,,
Qwen/Qwen-Image-Edit-Max,Qwen,text-to-image,"Enhanced industrial design and geometric reasoning, improved character consistency, reduced offset issues, and integrated LoRA capabilities",,,,image_units,$0.075000/image unit,,
Qwen/Qwen-Image-Max,Qwen,text-to-image,"Compared with the Plus series, it significantly reduces the “AI-like” feel in generated images, enhancing their realism. It delivers more lifelike material textures for human subjects, finer and more detailed natural textures, and more visually appealing text rendering.",,,,image_units,$0.075000/image unit,,
Qwen/Qwen2-72B-Instruct,Qwen,text-generation,"The 72 billion parameter Qwen2 excels in language understanding, multilingual capabilities, coding, mathematics, and reasoning.",openai; tools,bfloat16,32768,tokens,$0.3500 in/1M tokens; $0.4000 out/1M tokens,Yes,Qwen/Qwen2.5-72B-Instruct
Qwen/Qwen2-7B-Instruct,Qwen,text-generation,"The 7 billion parameter Qwen2 excels in language understanding, multilingual capabilities, coding, mathematics, and reasoning.",openai; tools,bfloat16,32768,tokens,$0.0550 in/1M tokens; $0.0550 out/1M tokens,Yes,Qwen/Qwen3-14B
Qwen/Qwen2.5-72B-Instruct,Qwen,text-generation,"Qwen2.5 is a model pretrained on a large-scale dataset of up to 18 trillion tokens, offering significant improvements in knowledge, coding, mathematics, and instruction following compared to its predecessor Qwen2. The model also features enhanced capabilities in generating long texts, understanding structured data, and generating structured outputs, while supporting multilingual capabilities for over 29 languages.",openai; tools; json; structured-output,fp8,32768,tokens,$0.1200 in/1M tokens; $0.3900 out/1M tokens,,
Qwen/Qwen2.5-7B-Instruct,Qwen,text-generation,"The 7 billion parameter Qwen2.5 excels in language understanding, multilingual capabilities, coding, mathematics, and reasoning",openai,bfloat16,32768,tokens,$0.0400 in/1M tokens; $0.1000 out/1M tokens,Yes,Qwen/Qwen3-14B
Qwen/Qwen2.5-Coder-32B-Instruct,Qwen,text-generation,"Qwen2.5-Coder is the latest series of Code-Specific Qwen large language models (formerly known as CodeQwen). It has significant improvements in code generation, code reasoning and code fixing. A more comprehensive foundation for real-world applications such as Code Agents. Not only enhancing coding capabilities but also maintaining its strengths in mathematics and general competencies.",openai,fp8,32768,tokens,$0.0600 in/1M tokens; $0.1500 out/1M tokens,Yes,Qwen/Qwen3-32B
Qwen/Qwen2.5-Coder-7B,Qwen,text-generation,"Qwen2.5-Coder-7B is a powerful code-specific large language model with 7.61 billion parameters. It's designed for code generation, reasoning, and fixing tasks. The model covers 92 programming languages and has been trained on 5.5 trillion tokens of data, including source code, text-code grounding, and synthetic data.",openai; completion,,32768,tokens,$0.0250 in/1M tokens; $0.0500 out/1M tokens,Yes,Qwen/Qwen3-14B
Qwen/Qwen2.5-VL-32B-Instruct,Qwen,text-generation,,openai; cc-native; multimodal; json; structured-output; ocr,bfloat16,128000,tokens,$0.2000 in/1M tokens; $0.6000 out/1M tokens,,
Qwen/Qwen3-14B,Qwen,text-generation,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Built upon extensive training, Qwen3 delivers groundbreaking advancements in reasoning, instruction-following, agent capabilities, and multilingual support. ",openai; json; tools; reasoning; structured-output,fp8,40960,tokens,$0.1200 in/1M tokens; $0.2400 out/1M tokens,,
Qwen/Qwen3-235B-A22B,Qwen,text-generation,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Built upon extensive training, Qwen3 delivers groundbreaking advancements in reasoning, instruction-following, agent capabilities, and multilingual support",openai; json; tools; reasoning,fp8,40960,tokens,$0.1800 in/1M tokens; $0.5400 out/1M tokens,Yes,Qwen/Qwen3-235B-A22B-Instruct-2507
Qwen/Qwen3-235B-A22B-Instruct-2507,Qwen,text-generation,"Qwen3-235B-A22B-Instruct-2507 is the updated version of the Qwen3-235B-A22B non-thinking mode, featuring Significant improvements in general capabilities, including instruction following, logical reasoning, text comprehension, mathematics, science, coding and tool usage.  ",openai; json; tools; structured-output,fp8,262144,tokens,$0.0710 in/1M tokens; $0.1000 out/1M tokens,,
Qwen/Qwen3-235B-A22B-Thinking-2507,Qwen,text-generation,"Qwen3-235B-A22B-Thinking-2507 is the Qwen3's new model with scaling the thinking capability of Qwen3-235B-A22B, improving both the quality and depth of reasoning. ",openai; tools; json; reasoning; structured-output,fp8,262144,tokens,$0.2000 cached/1M tokens; $0.2300 in/1M tokens; $2.3000 out/1M tokens,,
Qwen/Qwen3-30B-A3B,Qwen,text-generation,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Built upon extensive training, Qwen3 delivers groundbreaking advancements in reasoning, instruction-following, agent capabilities, and multilingual support",openai; json; tools; reasoning; structured-output,fp8,40960,tokens,$0.0800 in/1M tokens; $0.2800 out/1M tokens,,
Qwen/Qwen3-32B,Qwen,text-generation,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Built upon extensive training, Qwen3 delivers groundbreaking advancements in reasoning, instruction-following, agent capabilities, and multilingual support",openai; json; tools; reasoning; structured-output,fp8,40960,tokens,$0.0800 in/1M tokens; $0.2800 out/1M tokens,,
Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen,text-generation,"Qwen3-Coder-30B-A3B-Instruct is a high-performance code generation model optimized for agentic coding and complex programming tasks. With 30.5B total parameters and 3.3B activated through Mixture-of-Experts architecture, it delivers exceptional efficiency. The model features native support for 256K token context (extendable to 1M), making it ideal for repository-scale code understanding. It excels at tool calling, browser automation, and multi-step coding workflows.",openai; tools; json; structured_output,fp8,262144,tokens,$0.0700 in/1M tokens; $0.2600 out/1M tokens,Yes,Qwen/Qwen3-30B-A3B
Qwen/Qwen3-Coder-480B-A35B-Instruct,Qwen,text-generation,"Qwen3-Coder-480B-A35B-Instruct is the Qwen3's most agentic code model, featuring Significant Performance on Agentic Coding, Agentic Browser-Use and other foundational coding tasks, achieving results comparable to Claude Sonnet.",openai; tools; json; structured-output,fp8,262144,tokens,$0.4000 in/1M tokens; $1.6000 out/1M tokens,,
Qwen/Qwen3-Coder-480B-A35B-Instruct-Turbo,Qwen,text-generation,"Qwen3-Coder-480B-A35B-Instruct is the Qwen3's most agentic code model, featuring Significant Performance on Agentic Coding, Agentic Browser-Use and other foundational coding tasks, achieving results comparable to Claude Sonnet.",openai; tools; json; structured-output,fp4,262144,tokens,$0.0220 cached/1M tokens; $0.2200 in/1M tokens; $1.0000 out/1M tokens,,
Qwen/Qwen3-Embedding-0.6B,Qwen,embeddings,"The Qwen3 Embedding model series is the latest proprietary model of the Qwen family, specifically designed for text embedding and ranking tasks. Building upon the dense foundational models of the Qwen3 series, it provides a comprehensive range of text embeddings and reranking models in various sizes (0.6B, 4B, and 8B).",,,32768,input_tokens,$0.0100/1M tokens,,
Qwen/Qwen3-Embedding-0.6B-batch,Qwen,embeddings,"The Qwen3 Embedding model series is the latest proprietary model of the Qwen family, specifically designed for text embedding and ranking tasks. Building upon the dense foundational models of the Qwen3 series, it provides a comprehensive range of text embeddings and reranking models in various sizes (0.6B, 4B, and 8B).",,,32768,input_tokens,$0.0050/1M tokens,,
Qwen/Qwen3-Embedding-4B,Qwen,embeddings,"The Qwen3 Embedding model series is the latest proprietary model of the Qwen family, specifically designed for text embedding and ranking tasks. Building upon the dense foundational models of the Qwen3 series, it provides a comprehensive range of text embeddings and reranking models in various sizes (0.6B, 4B, and 8B).",,,32768,input_tokens,$0.0200/1M tokens,,
Qwen/Qwen3-Embedding-4B-batch,Qwen,embeddings,"The Qwen3 Embedding model series is the latest proprietary model of the Qwen family, specifically designed for text embedding and ranking tasks. Building upon the dense foundational models of the Qwen3 series, it provides a comprehensive range of text embeddings and reranking models in various sizes (0.6B, 4B, and 8B).",,,32768,input_tokens,$0.0100/1M tokens,,
Qwen/Qwen3-Embedding-8B,Qwen,embeddings,"The Qwen3 Embedding model series is the latest proprietary model of the Qwen family, specifically designed for text embedding and ranking tasks. Building upon the dense foundational models of the Qwen3 series, it provides a comprehensive range of text embeddings and reranking models in various sizes (0.6B, 4B, and 8B).",,,32768,input_tokens,$0.0500/1M tokens,,
Qwen/Qwen3-Embedding-8B-batch,Qwen,embeddings,"The Qwen3 Embedding model series is the latest proprietary model of the Qwen family, specifically designed for text embedding and ranking tasks. Building upon the dense foundational models of the Qwen3 series, it provides a comprehensive range of text embeddings and reranking models in various sizes (0.6B, 4B, and 8B).",,,32768,input_tokens,$0.0400/1M tokens,,
Qwen/Qwen3-Max,Qwen,text-generation,"The latest flagship model in the Qwen family. State-of-the-art results across a comprehensive suite of benchmarks — including knowledge, reasoning, coding, instruction following, human preference alignment, agent tasks, and multilingual understanding.",cc-native; no-free-anon; json; openai; structured-output; tools,,256000,tokens,$0.2400 cached/1M tokens; $1.2000 in/1M tokens; $6.0000 out/1M tokens,,
Qwen/Qwen3-Max-Thinking,Qwen,text-generation,The latest flagship reasoning model in the Qwen3 family. Further enhanced by multiple innovations like adaptive tool-use and advanced test-time scaling techniques,no-free-anon; json; cc-native; tools; openai; structured-output,,256000,tokens,$0.2400 cached/1M tokens; $1.2000 in/1M tokens; $6.0000 out/1M tokens,,
